INFO: 2025/11/27 16:47:41 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:43 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:45 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:47 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:49 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:51 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:53 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:55 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:57 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:47:59 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:01 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:03 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:05 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:07 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:09 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:11 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:13 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:15 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:17 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:19 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:21 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:23 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:25 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:27 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:29 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:31 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:33 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:35 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:37 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:39 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:41 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:43 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:45 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:47 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:49 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:51 main.go:50: Checked http://www.google.com, Status: 200
